Rank,Team,2022,Last 3,Last 1,Home,Away,2021,More
193,S Illinois,12.5,8.7,10.0,13.7,11.6,11.4,https://www.teamrankings.com/ncaa-basketball/team/southern-illinois-salukis
196,Stanford,12.5,11.3,17.0,12.8,12.3,15.0,https://www.teamrankings.com/ncaa-basketball/team/stanford-cardinal
197,Geo Wshgtn,12.5,8.7,9.0,12.6,12.5,12.6,https://www.teamrankings.com/ncaa-basketball/team/george-washington-revolutionaries
198,La Salle,12.5,12.7,11.0,11.5,13.3,13.1,https://www.teamrankings.com/ncaa-basketball/team/la-salle-explorers
199,Wichita St,12.5,11.0,7.0,12.2,12.9,12.9,https://www.teamrankings.com/ncaa-basketball/team/wichita-st-shockers
199,Santa Clara,12.5,12.0,17.0,12.3,12.9,11.5,https://www.teamrankings.com/ncaa-basketball/team/santa-clara-broncos
201,TN Tech,12.5,11.7,9.0,11.6,13.2,13.4,https://www.teamrankings.com/ncaa-basketball/team/tennessee-tech-golden-eagles
202,TN State,12.5,12.0,15.0,12.5,12.5,13.8,https://www.teamrankings.com/ncaa-basketball/team/tennessee-st-tigers
203,UL Monroe,12.6,10.7,11.0,10.4,14.1,13.3,https://www.teamrankings.com/ncaa-basketball/team/ul-monroe-warhawks
204,UAB,12.6,11.3,13.0,13.0,12.2,11.6,https://www.teamrankings.com/ncaa-basketball/team/uab-blazers
205,Maine,12.6,14.7,15.0,10.7,13.6,12.8,https://www.teamrankings.com/ncaa-basketball/team/maine-black-bears
206,St Fran (PA),12.6,7.7,12.0,12.2,12.9,12.5,https://www.teamrankings.com/ncaa-basketball/team/st-francis-pa-red-flash
207,Alcorn St,12.6,14.0,11.0,12.1,12.8,14.1,https://www.teamrankings.com/ncaa-basketball/team/alcorn-st-braves
207,St Bonavent,12.6,15.0,12.0,11.5,13.6,10.3,https://www.teamrankings.com/ncaa-basketball/team/st-bonaventure-bonnies
209,TX A&M-CC,12.6,10.3,6.0,12.7,12.6,14.2,https://www.teamrankings.com/ncaa-basketball/team/texas-am-cc-islanders
209,Neb Omaha,12.6,10.7,13.0,12.6,12.7,13.8,https://www.teamrankings.com/ncaa-basketball/team/nebraska-omaha-mavericks
211,Nebraska,12.7,12.3,8.0,12.1,13.2,12.6,https://www.teamrankings.com/ncaa-basketball/team/nebraska-cornhuskers
212,Wright St,12.7,10.3,8.0,12.9,12.6,12.3,https://www.teamrankings.com/ncaa-basketball/team/wright-st-raiders
