0,1
Opp Points/Game,68.2
Opp Effective FG %,49.1%
Off Rebounds/Gm,5.4
Def Rebounds/Gm,24.6
Blocks/Game,2.1
Steals/Game,4.4
Personal Fouls/Gm,15.5
