0,1
Points/Game,72.2
Avg Score Margin,+4.0
Assists/Game,13.7
Total Rebounds/Gm,32.6
Effective FG %,55.4%
Off Rebound %,17.7%
FTA/FGA,0.213
Turnover %,12.5%
