Rank,Team,2022,Last 3,Last 1,Home,Away,2021
101,Arkansas St,11.7,9.0,10.0,11.7,11.7,14.3
102,N Dakota St,11.7,10.0,12.0,10.5,12.4,11.7
103,Arizona St,11.7,9.7,13.0,12.4,11.2,11.9
104,Providence,11.7,10.0,10.0,11.5,12.0,11.4
105,Rider,11.8,10.0,13.0,10.3,12.8,11.9
106,Kentucky,11.8,13.3,16.0,10.6,13.1,11.6
107,CS Fullerton,11.8,10.0,12.0,10.6,12.5,11.9
108,Butler,11.8,11.3,11.0,11.3,12.4,12.0
109,Bradley,11.8,8.7,11.0,11.5,12.1,13.5
110,Niagara,11.8,13.3,12.0,11.6,12.0,11.0
111,Campbell,11.8,9.7,7.0,12.2,11.7,10.4
112,San Jose St,11.9,11.3,12.0,11.6,12.1,13.2
113,Seattle,11.9,12.0,8.0,13.3,10.9,11.8
113,Longwood,11.9,12.0,15.0,11.4,12.2,12.4
115,NW State,11.9,13.3,7.0,12.8,11.4,14.8
116,Marist,11.9,14.3,18.0,11.0,12.6,12.4
117,Col Charlestn,11.9,10.3,10.0,11.9,11.8,15.6
118,TX Christian,11.9,9.3,9.0,12.3,11.5,14.5
119,Boston U,11.9,9.7,10.0,11.2,12.4,12.0
120,Radford,11.9,11.3,9.0,11.8,12.0,13.5
121,North Texas,11.9,12.0,11.0,11.6,12.1,11.4
122,E Michigan,11.9,11.7,11.0,11.8,12.0,13.9
122,Fairfield,11.9,12.3,15.0,11.5,12.2,11.1
124,Cal Baptist,11.9,12.3,12.0,11.4,12.4,14.1
124,Mercer,11.9,15.0,16.0,11.8,12.1,12.2
126,NC-Grnsboro,12.0,9.3,8.0,10.8,12.7,12.8
127,Duquesne,12.0,12.3,14.0,11.7,12.5,11.5
128,E Kentucky,12.0,10.0,10.0,11.4,12.3,11.4
129,Tennessee,12.0,11.0,6.0,10.9,12.9,12.3
130,Duke,12.0,11.3,15.0,11.3,12.6,10.3
130,Cornell,12.0,12.3,11.0,10.6,13.0,14.4
130,Wash State,12.0,11.3,11.0,11.1,12.7,11.2
133,Montana St,12.0,14.7,16.0,9.4,13.4,13.0
134,Detroit,12.0,11.0,13.0,10.5,13.1,11.7
134,Utah,12.0,10.3,12.0,11.1,13.2,12.3
136,N Iowa,12.0,10.3,7.0,13.3,10.8,11.2
137,Canisius,12.0,11.3,7.0,12.9,11.4,11.8
137,Charl South,12.0,12.7,11.0,11.9,12.1,15.0
139,Dayton,12.1,9.7,8.0,11.9,12.2,12.4
140,Grd Canyon,12.1,8.7,7.0,12.5,11.7,12.9
141,Chattanooga,12.1,12.3,10.0,11.4,12.5,11.2
141,Saint Louis,12.1,10.7,15.0,11.2,13.0,13.1
143,Wyoming,12.1,12.7,11.0,12.4,11.8,11.4
144,SE Louisiana,12.1,11.7,17.0,11.8,12.2,14.7
144,N Florida,12.1,11.3,13.0,10.6,12.9,14.9
146,Lehigh,12.1,9.3,11.0,11.8,12.3,13.2
147,Wake Forest,12.1,13.3,10.0,10.7,13.4,13.9
148,Morehead St,12.1,8.0,6.0,12.3,12.0,13.5
148,Holy Cross,12.1,11.0,7.0,11.6,12.5,12.2
150,Portland St,12.1,12.3,10.0,11.9,12.2,12.3
151,Florida St,12.1,10.0,9.0,10.6,13.6,12.5
152,Baylor,12.1,10.0,10.0,12.5,11.8,12.4
153,Central Conn,12.2,11.3,7.0,11.7,12.5,13.8
154,Louisiana,12.2,12.0,14.0,10.7,13.0,15.6
154,Missouri St,12.2,11.0,17.0,11.8,12.4,10.6
156,Lipscomb,12.2,6.0,8.0,11.9,12.3,13.0
156,Ball St,12.2,10.7,13.0,11.1,12.9,14.1
158,Utah St,12.2,13.0,15.0,12.2,12.2,12.5
158,Auburn,12.2,8.3,8.0,12.1,12.3,12.1
160,Hawaii,12.2,12.7,18.0,11.7,12.8,12.9
161,Wagner,12.2,11.7,14.0,12.5,12.0,12.5
162,N Colorado,12.2,11.3,11.0,11.3,12.8,12.1
163,Elon,12.2,13.3,11.0,11.6,12.6,13.3
163,Indiana St,12.2,15.0,18.0,11.1,12.9,13.5
165,Mississippi,12.2,11.3,7.0,12.5,11.9,12.2
166,UCSD,12.2,12.7,9.0,10.6,13.4,12.9
167,Air Force,12.2,14.0,17.0,11.9,12.6,13.6
168,Oregon,12.2,13.0,9.0,12.8,11.5,11.8
169,Abl Christian,12.2,12.3,12.0,12.5,12.1,12.7
170,Boston Col,12.2,9.3,13.0,11.8,12.6,11.9
170,Towson,12.2,13.7,14.0,11.8,12.5,11.9
170,UC Irvine,12.2,12.7,11.0,11.9,12.5,13.4
173,Coastal Car,12.3,11.3,10.0,11.4,13.0,13.8
173,Georgetown,12.3,9.3,7.0,11.3,13.3,13.4
173,Evansville,12.3,11.0,10.0,12.4,12.2,11.3
176,Texas A&M,12.3,11.7,10.0,12.8,11.8,13.1
177,UNLV,12.3,12.7,13.0,13.7,10.5,11.3
177,Wm & Mary,12.3,10.3,9.0,12.3,12.2,16.3
179,LSU,12.3,8.7,8.0,12.1,12.5,14.7
180,NC-Wilmgton,12.3,13.7,17.0,12.6,12.1,9.9
181,Citadel,12.3,9.3,10.0,10.5,13.6,12.3
182,UC Riverside,12.3,13.7,10.0,12.3,12.3,12.2
183,NC A&T,12.3,12.7,13.0,11.9,12.5,12.4
184,S Mississippi,12.3,17.7,24.0,10.3,13.7,13.4
184,Kansas,12.3,13.0,12.0,10.8,13.6,12.1
186,TN Martin,12.3,10.0,9.0,12.0,12.6,13.6
187,St Peters,12.4,9.7,6.0,11.0,13.3,13.5
188,Xavier,12.4,10.0,12.0,12.7,12.2,11.7
189,USC,12.4,13.3,11.0,11.4,13.6,12.2
190,Tarleton St,12.4,13.3,15.0,11.6,12.9,11.8
190,Queens,12.4,13.3,14.0,12.2,12.6,--
192,Bowling Grn,12.5,12.7,14.0,12.4,12.5,12.2
193,Kennesaw St,12.5,11.0,11.0,12.7,12.4,11.9
193,Samford,12.5,11.0,8.0,11.9,12.9,13.5
193,S Illinois,12.5,8.7,10.0,13.7,11.6,11.4
196,Stanford,12.5,11.3,17.0,12.8,12.3,15.0
197,Geo Wshgtn,12.5,8.7,9.0,12.6,12.5,12.6
198,La Salle,12.5,12.7,11.0,11.5,13.3,13.1
199,Wichita St,12.5,11.0,7.0,12.2,12.9,12.9
199,Santa Clara,12.5,12.0,17.0,12.3,12.9,11.5
201,TN Tech,12.5,11.7,9.0,11.6,13.2,13.4
202,TN State,12.5,12.0,15.0,12.5,12.5,13.8
203,UL Monroe,12.6,10.7,11.0,10.4,14.1,13.3
204,UAB,12.6,11.3,13.0,13.0,12.2,11.6
